,Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount Clean,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount
12608,30,Q166,P.S. 166 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",PNS,,,,917858.0,917858.0,30638.0
12616,30,Q171,P.S. 171 - QUEENS,SCA CIP,EXTERIOR MASONRY / PARAPETS,Scope,Complete,2020-03-06,2020-06-22,2021-07-09,36021.0,72014.0,72014.0
12617,30,Q171,P.S. 171 - QUEENS,SCA CIP,EXTERIOR MASONRY / PARAPETS,Design,Complete,2021-07-27,2021-12-29,2022-01-19,175581.0,239002.0,238389.0
12618,30,Q171,P.S. 171 - QUEENS,SCA CIP,EXTERIOR MASONRY / PARAPETS,Construction,In-Progress,2022-07-27,2024-01-17,,3559571.0,6728695.0,6415937.0
12619,30,Q171,P.S. 171 - QUEENS,SCA CIP,EXTERIOR MASONRY / PARAPETS,"CM,F&E",In-Progress,2022-07-27,2024-01-17,,286043.0,1127592.0,1104707.0
12620,30,Q171,P.S. 171 - QUEENS,SCA CIP,DCAS ELECTRIFICATION/HEAT PUMP SYSTEMS / DCAS FIRE ALARM UPGRADE / DCAS ELECTRICAL SERVICE UPGRADE / DCAS FLOOD ELIMINATION,Scope,Complete,2023-08-25,2024-01-22,2024-05-21,256892.0,132342.0,125342.0
12621,30,Q171,P.S. 171 - QUEENS,SCA CIP,DCAS ELECTRIFICATION/HEAT PUMP SYSTEMS / DCAS FIRE ALARM UPGRADE / DCAS ELECTRICAL SERVICE UPGRADE / DCAS FLOOD ELIMINATION,Design,In-Progress,2024-06-19,2025-01-16,,1175698.0,1175698.0,217305.0
12622,30,Q171,P.S. 171 - QUEENS,SCA CIP,DCAS ELECTRIFICATION/HEAT PUMP SYSTEMS / DCAS FIRE ALARM UPGRADE / DCAS ELECTRICAL SERVICE UPGRADE / DCAS FLOOD ELIMINATION,Construction,PNS,,,,18437511.0,18437511.0,158037.0
12623,30,Q171,P.S. 171 - QUEENS,SCA CIP,DCAS ELECTRIFICATION/HEAT PUMP SYSTEMS / DCAS FIRE ALARM UPGRADE / DCAS ELECTRICAL SERVICE UPGRADE / DCAS FLOOD ELIMINATION,"CM,F&E",PNS,,,,2141210.0,2141210.0,108879.0
12646,30,Q212,P.S. 212 - QUEENS,SCA CIP RESOA,FY23 RESO A MULTIMEDIA CENTER,Scope,In-Progress,2025-01-23,2025-05-23,,0.0,9654.0,439.0
12647,30,Q212,P.S. 212 - QUEENS,SCA CIP RESOA,FY23 RESO A MULTIMEDIA CENTER,Design,PNS,,,,65911.0,56257.0,1755.0
12648,30,Q212,P.S. 212 - QUEENS,SCA CIP RESOA,FY23 RESO A MULTIMEDIA CENTER,Construction,PNS,,,,966695.0,966695.0,0.0
12649,30,Q212,P.S. 212 - QUEENS,SCA CIP RESOA,FY23 RESO A MULTIMEDIA CENTER,"CM,F&E",PNS,,,,65911.0,65911.0,2497.0
12650,30,Q212,P.S. 212 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A MULTIMEDIA CENTER,Scope,In-Progress,2025-02-27,2025-05-28,,0.0,0.0,0.0
12651,30,Q212,P.S. 212 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A MULTIMEDIA CENTER,Design,PNS,,,,0.0,0.0,0.0
12652,30,Q212,P.S. 212 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A MULTIMEDIA CENTER,Construction,PNS,,,,0.0,0.0,0.0
12653,30,Q212,P.S. 212 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A MULTIMEDIA CENTER,"CM,F&E",PNS,,,,0.0,892.0,892.0
12654,30,Q212,P.S. 212 - QUEENS,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Scope,PNS,,,,1482.0,1482.0,0.0
12655,30,Q212,P.S. 212 - QUEENS,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Design,PNS,,,,0.0,0.0,0.0
12656,30,Q212,P.S. 212 - QUEENS,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
12657,30,Q212,P.S. 212 - QUEENS,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
12661,30,Q222,P.S. 222 - QUEENS,SCA CIP,ROOFS,Scope,Complete,2024-01-08,2024-05-22,2024-09-04,17676.0,35600.0,35600.0
12662,30,Q222,P.S. 222 - QUEENS,SCA CIP,ROOFS,Design,In-Progress,2024-10-09,2025-03-17,,88382.0,92390.0,56153.0
12663,30,Q222,P.S. 222 - QUEENS,SCA CIP,ROOFS,Construction,PNS,,,,1988597.0,1988597.0,0.0
12664,30,Q222,P.S. 222 - QUEENS,SCA CIP,ROOFS,"CM,F&E",PNS,,,,123735.0,123735.0,18439.0
12666,30,Q227,I.S. 227 - QUEENS,SCA CIP,PA SYSTEM REPLACEMENT,Scope,Complete,2019-08-26,2019-11-26,2020-03-09,13800.0,52923.0,52923.0
12667,30,Q227,I.S. 227 - QUEENS,SCA CIP,PA SYSTEM REPLACEMENT,Design,Complete,2020-03-11,2020-08-10,2021-12-09,69000.0,142733.0,140576.0
12668,30,Q227,I.S. 227 - QUEENS,SCA CIP,PA SYSTEM REPLACEMENT,Construction,In-Progress,2022-06-13,2023-06-12,,1552500.0,1390189.0,1303939.0
12669,30,Q227,I.S. 227 - QUEENS,SCA CIP,PA SYSTEM REPLACEMENT,"CM,F&E",In-Progress,2022-06-13,2023-06-12,,96600.0,69108.0,69108.0
12670,30,Q227,I.S. 227 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-08-11,2022-12-13,2022-08-25,6010.0,2592.0,2592.0
12671,30,Q227,I.S. 227 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-08-25,2023-03-31,2023-03-08,27045.0,10368.0,10368.0
12672,30,Q227,I.S. 227 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-07-24,2024-05-18,,348580.0,312355.0,237689.0
12673,30,Q227,I.S. 227 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-07-24,2024-05-18,,177491.0,164500.0,110717.0
12674,30,Q227,I.S. 227 - QUEENS,SCA CIP RESOA,FY23 RESO A PROJECT TBD,Scope,PNS,,,,0.0,0.0,0.0
12675,30,Q227,I.S. 227 - QUEENS,SCA CIP RESOA,FY23 RESO A PROJECT TBD,Design,PNS,,,,30000.0,30000.0,0.0
12676,30,Q227,I.S. 227 - QUEENS,SCA CIP RESOA,FY23 RESO A PROJECT TBD,Construction,PNS,,,,440000.0,440000.0,0.0
12677,30,Q227,I.S. 227 - QUEENS,SCA CIP RESOA,FY23 RESO A PROJECT TBD,"CM,F&E",PNS,,,,30000.0,30000.0,3808.0
12678,30,Q227,I.S. 227 - QUEENS,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Scope,Complete,2018-11-15,2019-03-21,2019-03-29,0.0,15096.0,15096.0
12679,30,Q227,I.S. 227 - QUEENS,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Design,Complete,2021-04-02,2021-09-01,2022-09-29,126000.0,91909.0,90868.0
12680,30,Q227,I.S. 227 - QUEENS,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,2023-07-20,2024-04-14,,1848000.0,1718900.0,1449500.0
12681,30,Q227,I.S. 227 - QUEENS,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,"CM,F&E",In-Progress,2023-07-20,2024-04-14,,126000.0,167559.0,131889.0
12682,30,Q227,I.S. 227 - QUEENS,SCA CIP RESOA,FY20 RESO A SCIENCE LAB UPGRADES,Scope,Complete,2021-05-12,2021-08-26,2022-01-12,0.0,37130.0,37130.0
12683,30,Q227,I.S. 227 - QUEENS,SCA CIP RESOA,FY20 RESO A SCIENCE LAB UPGRADES,Design,Complete,2022-01-18,2022-06-17,2022-05-11,148451.0,140827.0,138235.0
12684,30,Q227,I.S. 227 - QUEENS,SCA CIP RESOA,FY20 RESO A SCIENCE LAB UPGRADES,Construction,In-Progress,2023-03-20,2024-03-18,,2177278.0,2171793.0,2027871.0
12685,30,Q227,I.S. 227 - QUEENS,SCA CIP RESOA,FY20 RESO A SCIENCE LAB UPGRADES,"CM,F&E",In-Progress,2023-03-20,2024-03-18,,264592.0,270626.0,255153.0
12690,30,Q228,P.S. 228 - QUEENS,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,Scope,Complete,2020-05-20,2020-11-17,2020-10-30,49706.0,204303.0,204273.0
12691,30,Q228,P.S. 228 - QUEENS,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,Design,Complete,2021-05-27,2021-11-23,2021-11-22,242850.0,412263.0,412263.0
12692,30,Q228,P.S. 228 - QUEENS,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,Construction,PNS,,,,4972825.0,4972825.0,7438.0
12693,30,Q228,P.S. 228 - QUEENS,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,,,,390543.0,390543.0,28525.0
12694,30,Q230,I.S. 230 - QUEENS,SCA CIP,FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL UPGRADE,Scope,Complete,2019-11-07,2020-03-27,2021-12-07,117767.0,165816.0,164727.0
12695,30,Q230,I.S. 230 - QUEENS,SCA CIP,FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL UPGRADE,Design,In-Progress,2022-01-26,2022-06-27,,588832.0,588832.0,213083.0
12696,30,Q230,I.S. 230 - QUEENS,SCA CIP,FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL UPGRADE,Construction,PNS,,,,13248721.0,13248721.0,107.0
12697,30,Q230,I.S. 230 - QUEENS,SCA CIP,FLOOD ELIMINATION / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL UPGRADE,"CM,F&E",PNS,,,,824365.0,824365.0,18523.0
12698,30,Q230,I.S. 230 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,Scope,Complete,2024-08-22,2025-01-10,2025-01-06,78917.0,160582.0,159949.0
12699,30,Q230,I.S. 230 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,Design,In-Progress,2025-01-28,2025-06-30,,368278.0,392328.0,218236.0
12700,30,Q230,I.S. 230 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,Construction,PNS,,,,5839844.0,5839844.0,152.0
12701,30,Q230,I.S. 230 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,,,,578723.0,578723.0,23484.0
12705,30,Q234,P.S. 234 - QUEENS,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Scope,Complete,2019-06-27,2019-11-13,2019-12-13,37229.0,49125.0,49125.0
12706,30,Q234,P.S. 234 - QUEENS,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Design,Complete,2019-12-13,2020-05-15,2020-07-16,175017.0,231178.0,224443.0
12707,30,Q234,P.S. 234 - QUEENS,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Construction,Complete,2022-06-27,2023-12-18,2024-10-09,2975201.0,2675623.0,2554233.0
12708,30,Q234,P.S. 234 - QUEENS,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,"CM,F&E",Complete,2022-06-27,2023-12-18,2024-10-09,344072.0,264279.0,251356.0
12709,30,Q234,P.S. 234 - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / IDA INTERIOR SPACES,Scope,Complete,2021-10-21,2022-02-25,2022-07-11,19517.0,84133.0,43264.0
12710,30,Q234,P.S. 234 - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / IDA INTERIOR SPACES,Design,In-Progress,2024-10-09,2025-03-17,,88558.0,116062.0,59413.0
12711,30,Q234,P.S. 234 - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / IDA INTERIOR SPACES,Construction,PNS,,,,1699096.0,1699096.0,0.0
12712,30,Q234,P.S. 234 - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / IDA INTERIOR SPACES,"CM,F&E",PNS,,,,206599.0,206599.0,10129.0
12713,30,Q234,P.S. 234 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,Scope,Complete,2024-06-21,2024-11-06,2024-10-30,139333.0,130260.0,130260.0
12714,30,Q234,P.S. 234 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,Design,In-Progress,2024-12-18,2025-05-21,,647845.0,647845.0,367934.0
12715,30,Q234,P.S. 234 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,Construction,PNS,,,,10251849.0,10251849.0,0.0
12716,30,Q234,P.S. 234 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,,,,1048193.0,1048193.0,53516.0
12717,30,Q234,P.S. 234 - QUEENS,SCA CIP,PATH OF TRAVEL IDA FLOOD ELIMINATION,Scope,In-Progress,2025-02-20,2025-05-20,,647.0,647.0,0.0
12718,30,Q234,P.S. 234 - QUEENS,SCA CIP,PATH OF TRAVEL IDA FLOOD ELIMINATION,Design,PNS,,,,2589.0,2589.0,0.0
12719,30,Q234,P.S. 234 - QUEENS,SCA CIP,PATH OF TRAVEL IDA FLOOD ELIMINATION,Construction,PNS,,,,37216.0,37216.0,0.0
12720,30,Q234,P.S. 234 - QUEENS,SCA CIP,PATH OF TRAVEL IDA FLOOD ELIMINATION,"CM,F&E",PNS,,,,9547.0,9547.0,505.0
12721,30,Q234,P.S. 234 - QUEENS,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,Scope,In-Progress,2025-02-19,2025-06-20,,0.0,23071.0,1237.0
12722,30,Q234,P.S. 234 - QUEENS,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,Design,PNS,,,,45000.0,21929.0,4950.0
12723,30,Q234,P.S. 234 - QUEENS,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,Construction,PNS,,,,660000.0,660000.0,0.0
12724,30,Q234,P.S. 234 - QUEENS,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,,,,45000.0,45000.0,0.0
12725,30,Q234,P.S. 234 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
12726,30,Q234,P.S. 234 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Design,PNS,,,,0.0,0.0,0.0
12727,30,Q234,P.S. 234 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
12728,30,Q234,P.S. 234 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
12733,30,Q292,P.S. 92 - QUEENS,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,2019-10-29,2020-04-28,2020-02-20,3740.0,19398.0,19398.0
12734,30,Q292,P.S. 92 - QUEENS,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,Complete,2020-02-25,2020-08-18,2020-04-28,16830.0,77588.0,77588.0
12735,30,Q292,P.S. 92 - QUEENS,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,In-Progress,2021-06-23,2022-03-19,,216920.0,214510.0,131850.0
12736,30,Q292,P.S. 92 - QUEENS,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",In-Progress,2021-06-23,2022-03-19,,40205.0,37675.0,37280.0
12737,30,Q292,P.S. 92 - QUEENS,SCA CIP,PLAYGROUND UPGRADE / PATH OF TRAVEL PLAYGROUND UPGRADE,Scope,Complete,2023-02-08,2024-03-13,2024-02-12,6595.0,45168.0,45168.0
12738,30,Q292,P.S. 92 - QUEENS,SCA CIP,PLAYGROUND UPGRADE / PATH OF TRAVEL PLAYGROUND UPGRADE,Design,Complete,2024-02-21,2024-06-24,2024-03-27,29675.0,93674.0,68789.0
12739,30,Q292,P.S. 92 - QUEENS,SCA CIP,PLAYGROUND UPGRADE / PATH OF TRAVEL PLAYGROUND UPGRADE,Construction,In-Progress,2025-03-10,2026-02-02,,382482.0,332168.0,2442.0
12740,30,Q292,P.S. 92 - QUEENS,SCA CIP,PLAYGROUND UPGRADE / PATH OF TRAVEL PLAYGROUND UPGRADE,"CM,F&E",In-Progress,2025-03-10,2026-02-02,,70892.0,59986.0,24376.0
12754,30,Q339,THE WOODSIDE COMMUNITY SCHOOL - QUEENS,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,Complete,2023-12-14,2024-03-18,2024-07-01,0.0,33591.0,30479.0
12755,30,Q339,THE WOODSIDE COMMUNITY SCHOOL - QUEENS,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,In-Progress,2024-07-09,2024-11-22,,60000.0,51657.0,27332.0
12756,30,Q339,THE WOODSIDE COMMUNITY SCHOOL - QUEENS,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,880000.0,880000.0,0.0
12757,30,Q339,THE WOODSIDE COMMUNITY SCHOOL - QUEENS,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,60000.0,60000.0,26212.0
12758,30,Q339,THE WOODSIDE COMMUNITY SCHOOL - QUEENS,SCA CIP RESOA,FY25 RESO A IPDVS CAMERA INSTALLATION,Scope,Complete,2024-12-18,2025-04-21,2025-01-09,0.0,0.0,0.0
12759,30,Q339,THE WOODSIDE COMMUNITY SCHOOL - QUEENS,SCA CIP RESOA,FY25 RESO A IPDVS CAMERA INSTALLATION,Design,PNS,,,,6000.0,6000.0,0.0
12760,30,Q339,THE WOODSIDE COMMUNITY SCHOOL - QUEENS,SCA CIP RESOA,FY25 RESO A IPDVS CAMERA INSTALLATION,Construction,PNS,,,,88000.0,120946.0,0.0
12761,30,Q339,THE WOODSIDE COMMUNITY SCHOOL - QUEENS,SCA CIP RESOA,FY25 RESO A IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,,,,6000.0,8246.0,0.0
12763,30,Q341,P.S. @ PARCEL C - QUEENS,SCA Capacity,NEW SCHOOL,Scope,Complete,2016-12-21,2017-06-28,2017-06-28,1494500.0,1339713.0,1339596.0
12764,30,Q341,P.S. @ PARCEL C - QUEENS,SCA Capacity,NEW SCHOOL,Design,Complete,2017-06-29,2018-01-09,2023-05-12,6725250.0,4041009.0,2857017.0
12765,30,Q341,P.S. @ PARCEL C - QUEENS,SCA Capacity,NEW SCHOOL,Construction,In-Progress,2024-09-30,2027-09-03,,84812875.0,75853425.0,907076.0
12766,30,Q341,P.S. @ PARCEL C - QUEENS,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",In-Progress,2024-09-30,2027-09-03,,11956000.0,5056101.0,646545.0
12767,30,Q341,P.S. @ PARCEL C - QUEENS,SCA CIP,DEMOLITION,Scope,Complete,2022-11-14,2022-11-14,2022-11-14,187000.0,4747.0,4747.0
12768,30,Q341,P.S. @ PARCEL C - QUEENS,SCA CIP,DEMOLITION,Design,Complete,2022-11-15,2023-01-11,2023-04-27,935000.0,434921.0,355036.0
12769,30,Q341,P.S. @ PARCEL C - QUEENS,SCA CIP,DEMOLITION,Construction,In-Progress,2024-07-23,2025-01-18,,21037500.0,18916665.0,1021987.0
12770,30,Q341,P.S. @ PARCEL C - QUEENS,SCA CIP,DEMOLITION,"CM,F&E",In-Progress,2024-07-23,2025-01-18,,1309000.0,371506.0,359113.0
12773,30,Q389,DISTRICT 30 PRE-K CENTER,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
12774,30,Q389,DISTRICT 30 PRE-K CENTER,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,,0.0,0.0,0.0
12775,30,Q389,DISTRICT 30 PRE-K CENTER,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
12776,30,Q389,DISTRICT 30 PRE-K CENTER,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
12777,30,Q389,DISTRICT 30 PRE-K CENTER,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,2025-02-03,2025-05-02,,0.0,191.0,191.0
12778,30,Q389,DISTRICT 30 PRE-K CENTER,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Design,PNS,,,,30000.0,29809.0,763.0
12779,30,Q389,DISTRICT 30 PRE-K CENTER,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,440000.0,440000.0,0.0
12780,30,Q389,DISTRICT 30 PRE-K CENTER,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,30000.0,30000.0,229.0
12785,30,Q445,WILLIAM C. BRYANT HS - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS,Scope,In-Progress,2024-07-18,2024-12-04,,402233.0,402233.0,48677.0
12786,30,Q445,WILLIAM C. BRYANT HS - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS,Design,PNS,,,,1877089.0,1877089.0,17233.0
12787,30,Q445,WILLIAM C. BRYANT HS - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS,Construction,PNS,,,,29765257.0,29765257.0,31871.0
12788,30,Q445,WILLIAM C. BRYANT HS - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS,"CM,F&E",PNS,,,,2949710.0,2949710.0,11723.0
12789,30,Q445,WILLIAM C. BRYANT HS - QUEENS,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL GYMNASIUM UPGRADE / FY20 RESO A GYMNASIUM UPGRADE,Scope,Complete,2021-03-15,2021-10-01,2021-10-07,0.0,34892.0,34892.0
12790,30,Q445,WILLIAM C. BRYANT HS - QUEENS,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL GYMNASIUM UPGRADE / FY20 RESO A GYMNASIUM UPGRADE,Design,Complete,2021-10-13,2021-12-17,2021-12-01,76183.0,193961.0,168522.0
12791,30,Q445,WILLIAM C. BRYANT HS - QUEENS,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL GYMNASIUM UPGRADE / FY20 RESO A GYMNASIUM UPGRADE,Construction,Complete,2022-04-11,2023-01-05,2023-09-14,1117357.0,981034.0,886243.0
12792,30,Q445,WILLIAM C. BRYANT HS - QUEENS,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL GYMNASIUM UPGRADE / FY20 RESO A GYMNASIUM UPGRADE,"CM,F&E",Complete,2022-04-11,2023-01-05,2023-09-14,76183.0,120240.0,118160.0
12796,30,Q447,3K CENTER @ 36-31 38 STREET - QUEENS,3K,LEASE,Scope,Complete,2021-08-03,2021-08-24,2021-08-24,239760.0,228742.0,228742.0
12797,30,Q447,3K CENTER @ 36-31 38 STREET - QUEENS,3K,LEASE,Design,Complete,2021-08-25,2021-11-22,2022-03-08,1078920.0,1200172.0,1122498.0
12798,30,Q447,3K CENTER @ 36-31 38 STREET - QUEENS,3K,LEASE,Construction,In-Progress,2022-07-13,2023-09-03,,13606380.0,12428258.0,12130003.0
12799,30,Q447,3K CENTER @ 36-31 38 STREET - QUEENS,3K,LEASE,"CM,F&E",In-Progress,2022-07-13,2023-09-03,,1942897.0,635364.0,1128877.0
12800,30,Q450,NEWCOMERS HIGH SCHOOL - Q,SCA CIP,RPZ VALVES,Scope,Complete,2016-09-27,2016-09-28,2016-09-28,11670.0,16446.0,16446.0
12801,30,Q450,NEWCOMERS HIGH SCHOOL - Q,SCA CIP,RPZ VALVES,Design,Complete,2016-09-28,2017-03-28,2017-04-24,42790.0,66783.0,66658.0
12802,30,Q450,NEWCOMERS HIGH SCHOOL - Q,SCA CIP,RPZ VALVES,Construction,In-Progress,2017-06-27,2017-12-23,,453185.0,464089.0,430158.0
12803,30,Q450,NEWCOMERS HIGH SCHOOL - Q,SCA CIP,RPZ VALVES,"CM,F&E",In-Progress,2017-06-27,2017-12-23,,105030.0,65451.0,64526.0
12804,30,Q450,NEWCOMERS HIGH SCHOOL - Q,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-08-04,2022-12-06,2022-09-28,5550.0,4388.0,4388.0
12805,30,Q450,NEWCOMERS HIGH SCHOOL - Q,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-09-28,2023-03-29,2023-03-08,24975.0,17553.0,17553.0
12806,30,Q450,NEWCOMERS HIGH SCHOOL - Q,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-07-24,2024-05-18,,321900.0,292144.0,226874.0
12807,30,Q450,NEWCOMERS HIGH SCHOOL - Q,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-07-24,2024-05-18,,164768.0,153948.0,105226.0
12808,30,Q450,NEWCOMERS HIGH SCHOOL - Q,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM REPLACEMENT / AUDITORIUM SEAT UPGRADE / PATH OF TRAVEL AUDITORIUM SEAT UPGRADE,Scope,Complete,2020-08-10,2023-05-25,2023-02-22,91056.0,113673.0,106200.0
12809,30,Q450,NEWCOMERS HIGH SCHOOL - Q,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM REPLACEMENT / AUDITORIUM SEAT UPGRADE / PATH OF TRAVEL AUDITORIUM SEAT UPGRADE,Design,Complete,2023-02-22,2023-06-26,2023-05-11,449880.0,829015.0,772513.0
12810,30,Q450,NEWCOMERS HIGH SCHOOL - Q,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM REPLACEMENT / AUDITORIUM SEAT UPGRADE / PATH OF TRAVEL AUDITORIUM SEAT UPGRADE,Construction,In-Progress,2023-08-11,2025-05-01,,9654766.0,9017108.0,1588222.0
12811,30,Q450,NEWCOMERS HIGH SCHOOL - Q,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM REPLACEMENT / AUDITORIUM SEAT UPGRADE / PATH OF TRAVEL AUDITORIUM SEAT UPGRADE,"CM,F&E",In-Progress,2023-08-11,2025-05-01,,685653.0,1857181.0,1777259.0
12821,30,Q452,LONG ISLAND CITY HS - Q,SCA CIP,CRACKED PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,Scope,Complete,2014-05-05,2014-09-18,2014-12-22,325500.0,207916.0,207916.0
12822,30,Q452,LONG ISLAND CITY HS - Q,SCA CIP,CRACKED PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,Design,Complete,2015-03-10,2015-08-07,2015-12-23,1302001.0,1440169.0,1315309.0
12823,30,Q452,LONG ISLAND CITY HS - Q,SCA CIP,CRACKED PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,Construction,In-Progress,2019-08-05,2021-08-03,,24412499.0,25442490.0,17108135.0
